Timestamp,Gender,"In the last month, on most days, you fell asleep around…",You typically wake up (without being forced to)…,"When you return to the room late (after 11 PM), you…",How often do you sweep/tidy your side of the room?,"After a full day of classes, your ideal evening is…","When friends visit, they typically leave by…",How much daily conversation do you want with a roommate?,"When you study in the room, you need…",How much does music or audio from a roommate's device bother you (without headphones)?,Your food preference is…,How sensitive are you to non-veg food smells in a shared room?,"Do you smoke/drink, and where?","Scenario: A recurring habit of the roommate bothers you (e.g. not switching off lights, taking your stuff). ","You're okay with a roommate using your things (charger, stationery, snacks) without asking…",You prefer the room temperature to be…,Lights in the room when you're winding down at night — you prefer…,"Your most important dealbreakers in a roommate, pick up to 3:
(Please choose only one option in each preference.) [Preference 1]","Your most important dealbreakers in a roommate, pick up to 3:
(Please choose only one option in each preference.) [Preference 2]","Your most important dealbreakers in a roommate, pick up to 3:
(Please choose only one option in each preference.) [Preference 3]",Optional: Enter any specific concerns or preferences not covered above.
3/14/2026 17:33:29,Female,1 AM – 3 AM,8 – 10 AM,"Use phone torch, try to stay quiet",When it gets messy enough to bother me,"Alone in the room — lights dim, silence",Midnight,3,Quiet — soft background is okay,4,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),"Dim lamp is fine, main light off",Smoking in room,,,
3/14/2026 17:35:36,Female,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Alone in the room — lights dim, silence",10 PM,5,Complete silence — any noise breaks focus,3,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Column 1,,,
3/14/2026 22:59:12,Female,11:30 PM – 1 AM,8 – 10 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Alone in the room — lights dim, silence",10 PM,3,Complete silence — any noise breaks focus,3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking Habits,Cleanliness,Sleep Schedule,
3/14/2026 23:02:29,Female,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,Every 2–3 days,"Alone in the room — lights dim, silence",I don't bring friends,5,Quiet — soft background is okay,3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking Habits,Lack of privacy,Loud Noise / Music,
3/14/2026 23:20:32,Female,Varies wildly day to day,After 10 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Friends in the room, casual hangout",Midnight,3,Complete silence — any noise breaks focus,3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),"Dim lamp is fine, main light off",Sleep Schedule,Frequent guests at night,Cleanliness,
3/14/2026 23:37:56,Male,11:30 PM – 1 AM,6 – 8 AM,"Use phone torch, try to stay quiet",Rarely / Never,"Friends in the room, casual hangout",Midnight,3,Quiet — soft background is okay,2,Vegetarian + eggs,Very — it's a dealbreaker,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),Complete darkness — lights off by 10 PM,Sleep Schedule,Frequent guests at night,Lack of privacy,
3/15/2026 7:56:19,Female,1 AM – 3 AM,6 – 8 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Alone in the room — lights dim, silence",10 PM,2,Complete silence — any noise breaks focus,1,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Frequent guests at night,Sleep Schedule,Loud Noise / Music,
3/15/2026 10:25:23,Male,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Friends in the room, casual hangout",Midnight,4,Quiet — soft background is okay,3,Jain (no root vegetables),Very — it's a dealbreaker,I don't smoke/drink at all,I stay quiet to keep the peace,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking Habits,Loud Noise / Music,Frequent guests at night,
3/15/2026 18:33:09,Female,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,Weekly,"Low-key — one person, quiet chat or a show",Midnight,3,Complete silence — any noise breaks focus,4,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Cleanliness,Frequent guests at night,Sleep Schedule,Not any
3/15/2026 18:33:49,Female,11:30 PM – 1 AM,6 – 8 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Alone in the room — lights dim, silence",Midnight,3,Quiet — soft background is okay,4,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Never — always ask first,No strong preference,Main light on is okay if someone's working,Smoking Habits,Lack of privacy,Cleanliness,
3/15/2026 18:33:53,Female,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Alone in the room — lights dim, silence",10 PM,4,Quiet — soft background is okay,4,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,No strong preference,Main light on is okay if someone's working,Smoking Habits,Cleanliness,Frequent guests at night,
3/15/2026 21:55:52,Female,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Alone in the room — lights dim, silence",Midnight,3,Complete silence — any noise breaks focus,4,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Cleanliness,Sleep Schedule,Loud Noise / Music,
3/15/2026 21:56:37,Female,1 AM – 3 AM,8 – 10 AM,Turn on the main light and move normally,Every 2–3 days,"Out with people, barely in the room",Midnight,1,Complete silence — any noise breaks focus,3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Cleanliness,Cleanliness,Cleanliness,
3/15/2026 21:57:57,Female,After 3 AM,8 – 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Friends in the room, casual hangout",2 AM or later,5,I can study through most noise,1,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Cool (Cooler/AC at 18–20°C),Main light on is okay if someone's working,Cleanliness,Cleanliness,Cleanliness,
3/15/2026 21:59:45,Female,After 3 AM,After 10 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Out with people, barely in the room",2 AM or later,5,I can study through most noise,1,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,I stay quiet to keep the peace,Basically anything is fine,No strong preference,Main light on is okay if someone's working,Smoking Habits,Roommate avoids all conflict,Loud Noise / Music,
3/15/2026 22:00:43,Female,10 PM – 11:30 PM,8 – 10 AM,I almost never return after 11 PM,Every 2–3 days,"Low-key — one person, quiet chat or a show",Midnight,4,Complete silence — any noise breaks focus,4,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking Habits,Sleep Schedule,Frequent guests at night,
3/15/2026 22:02:38,Female,11:30 PM – 1 AM,6 – 8 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Alone in the room — lights dim, silence",Midnight,5,Quiet — soft background is okay,2,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,I stay quiet to keep the peace,Most daily-use items are fine,No strong preference,Main light on is okay if someone's working,,,,
3/15/2026 22:03:05,Female,1 AM – 3 AM,8 – 10 AM,Turn on the main light and move normally,Every 2–3 days,"Alone in the room — lights dim, silence",10 PM,5,Quiet — soft background is okay,1,Non-vegetarian,Doesn't bother me,I don't smoke/drink at all,I stay quiet to keep the peace,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking Habits,Smoking Habits,Smoking Habits,
3/15/2026 22:05:02,Female,After 3 AM,After 10 AM,I almost never return after 11 PM,Weekly,"Out with people, barely in the room",2 AM or later,5,Quiet — soft background is okay,2,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,I stay quiet to keep the peace,Only small things like a pen,No strong preference,"Dim lamp is fine, main light off",Lack of privacy,Cleanliness,Smoking Habits,
3/15/2026 22:06:29,Female,11:30 PM – 1 AM,8 – 10 AM,Turn on the main light and move normally,Every 2–3 days,"Low-key — one person, quiet chat or a show",10 PM,3,Quiet — soft background is okay,3,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking Habits,Loud Noise / Music,Sleep Schedule,
3/15/2026 22:07:20,Female,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,Weekly,"Alone in the room — lights dim, silence",10 PM,3,Complete silence — any noise breaks focus,3,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,I stay quiet to keep the peace,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Cleanliness,Sleep Schedule,Roommate avoids all conflict,No
3/15/2026 22:10:28,Female,11:30 PM – 1 AM,After 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Friends in the room, casual hangout",2 AM or later,5,Complete silence — any noise breaks focus,5,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking Habits,Loud Noise / Music,Frequent guests at night,Na
3/15/2026 22:11:29,Female,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Every 2–3 days,"Friends in the room, casual hangout",10 PM,3,Quiet — soft background is okay,4,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Sleep Schedule,Lack of privacy,Frequent guests at night,
3/15/2026 22:13:58,Female,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,Every 2–3 days,"Alone in the room — lights dim, silence",10 PM,4,Complete silence — any noise breaks focus,3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking Habits,Cleanliness,Sleep Schedule,
3/15/2026 22:14:17,Female,11:30 PM – 1 AM,8 – 10 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Alone in the room — lights dim, silence",Midnight,3,Quiet — soft background is okay,4,Vegetarian + eggs,I'd prefer it not happen,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking Habits,Lack of privacy,Loud Noise / Music,
3/15/2026 22:14:31,Female,10 PM – 11:30 PM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Friends in the room, casual hangout",10 PM,4,Quiet — soft background is okay,3,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Smoking Habits,Sleep Schedule,Cleanliness,No
3/15/2026 22:15:56,Female,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,Every 2–3 days,"Out with people, barely in the room",I don't bring friends,2,"I use headphones, so room noise doesn't matter",3,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Never — always ask first,No strong preference,Main light on is okay if someone's working,Lack of privacy,Frequent guests at night,Loud Noise / Music,
3/15/2026 22:17:54,Female,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Friends in the room, casual hangout",Midnight,5,"I use headphones, so room noise doesn't matter",1,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,,,,
3/15/2026 22:20:54,Female,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,Every 2–3 days,"Low-key — one person, quiet chat or a show",10 PM,3,Quiet — soft background is okay,1,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,I stay quiet to keep the peace,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Cleanliness,Smoking Habits,Sleep Schedule,
3/15/2026 22:25:46,Female,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Out with people, barely in the room",Midnight,5,Quiet — soft background is okay,2,Non-vegetarian,I eat non-veg myself,I smoke/drink in presence of peers,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Cleanliness,Lack of privacy,Frequent guests at night,
3/15/2026 22:26:17,Female,11:30 PM – 1 AM,8 – 10 AM,I almost never return after 11 PM,Weekly,"Alone in the room — lights dim, silence",I don't bring friends,2,Quiet — soft background is okay,5,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Lack of privacy,Loud Noise / Music,Frequent guests at night,
3/15/2026 22:27:02,Female,1 AM – 3 AM,After 10 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Out with people, barely in the room",Midnight,3,Complete silence — any noise breaks focus,5,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Cleanliness,Roommate avoids all conflict,Loud Noise / Music,No
3/15/2026 22:27:14,Female,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,When it gets messy enough to bother me,"Alone in the room — lights dim, silence",I don't bring friends,2,Complete silence — any noise breaks focus,5,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Sleep Schedule,Smoking Habits,Cleanliness,
3/15/2026 22:42:39,Male,11:30 PM – 1 AM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Low-key — one person, quiet chat or a show",10 PM,2,Complete silence — any noise breaks focus,5,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Never — always ask first,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Sleep Schedule,Loud Noise / Music,Frequent guests at night,
3/15/2026 22:44:40,Male,1 AM – 3 AM,8 – 10 AM,Turn on the main light and move normally,Rarely / Never,"Out with people, barely in the room",Midnight,5,Complete silence — any noise breaks focus,1,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking Habits,Temperature,Sleep Schedule,
3/15/2026 23:33:30,Female,1 AM – 3 AM,8 – 10 AM,I almost never return after 11 PM,Daily,"Alone in the room — lights dim, silence",I don't bring friends,3,Quiet — soft background is okay,4,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Loud Noise / Music,Lack of privacy,Frequent guests at night,
3/15/2026 23:47:25,Male,1 AM – 3 AM,8 – 10 AM,Turn on the main light and move normally,Every 2–3 days,"Friends in the room, casual hangout",Midnight,4,"I use headphones, so room noise doesn't matter",3,Strictly vegetarian,I'd prefer it not happen,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),"Dim lamp is fine, main light off",Smoking Habits,Cleanliness,Sleep Schedule,
3/16/2026 11:46:40,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Alone in the room — lights dim, silence",I don't bring friends,3,Complete silence — any noise breaks focus,5,Vegetarian + eggs,Very — it's a dealbreaker,I don't smoke/drink at all,I stay quiet to keep the peace,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking Habits,Cleanliness,Loud Noise / Music,
3/16/2026 15:14:01,Male,10 PM – 11:30 PM,6 – 8 AM,"Use phone torch, try to stay quiet",Weekly,"Low-key — one person, quiet chat or a show",Midnight,3,Quiet — soft background is okay,4,Jain (no root vegetables),I'd prefer it not happen,I sometimes smoke/drink in the room,Had one direct conversation about it,Never — always ask first,Cool (Cooler/AC at 18–20°C),"Dim lamp is fine, main light off",Smoking Habits,Sleep Schedule,Smoking Habits,
3/16/2026 16:43:58,Male,11:30 PM – 1 AM,6 – 8 AM,"Use phone torch, try to stay quiet",Weekly,"Alone in the room — lights dim, silence",Midnight,3,Quiet — soft background is okay,3,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Sleep Schedule,Cleanliness,Smoking Habits,
3/16/2026 16:44:26,Male,10 PM – 11:30 PM,Before 6 AM,"Use phone torch, try to stay quiet",Daily,"Alone in the room — lights dim, silence",I don't bring friends,4,Complete silence — any noise breaks focus,4,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,"Warm (fan, no AC or AC at 26°C+)",Complete darkness — lights off by 10 PM,Sleep Schedule,Loud Noise / Music,Cleanliness,
3/16/2026 16:47:19,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Out with people, barely in the room",Midnight,2,Complete silence — any noise breaks focus,1,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Smoking Habits,Frequent guests at night,Sleep Schedule,
3/16/2026 16:50:08,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Weekly,"Alone in the room — lights dim, silence",Midnight,1,Quiet — soft background is okay,1,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Sleep Schedule,,,
3/16/2026 16:55:02,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Rarely / Never,"Friends in the room, casual hangout",2 AM or later,3,"I use headphones, so room noise doesn't matter",3,Vegetarian + eggs,Doesn't bother me,I smoke/drink regularly in shared spaces,Set a clear boundary and expect it to be respected,Only small things like a pen,No strong preference,I wear a sleep mask — doesn't matter,Loud Noise / Music,Sleep Schedule,,
3/16/2026 20:12:47,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,Every 2–3 days,"Friends in the room, casual hangout",Midnight,5,Complete silence — any noise breaks focus,2,Vegetarian + eggs,Doesn't bother me,I smoke/drink in presence of peers,Had one direct conversation about it,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Loud Noise / Music,Roommate avoids all conflict,Frequent guests at night,
3/16/2026 20:13:36,Female,Varies wildly day to day,6 – 8 AM,Turn on the main light and move normally,Every 2–3 days,"Friends in the room, casual hangout",Midnight,5,Complete silence — any noise breaks focus,1,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Cool (Cooler/AC at 18–20°C),Complete darkness — lights off by 10 PM,Sleep Schedule,Cleanliness,Temperature,
3/16/2026 20:13:46,Male,11:30 PM – 1 AM,6 – 8 AM,"Use phone torch, try to stay quiet",Weekly,"Out with people, barely in the room",Midnight,5,Complete silence — any noise breaks focus,1,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Basically anything is fine,No strong preference,Main light on is okay if someone's working,Lack of privacy,Sleep Schedule,Cleanliness,Miaaaaau...............
3/16/2026 20:26:02,Male,11:30 PM – 1 AM,6 – 8 AM,Turn on the main light and move normally,When it gets messy enough to bother me,"Friends in the room, casual hangout",10 PM,3,"I use headphones, so room noise doesn't matter",1,No preference,I eat non-veg myself,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Most daily-use items are fine,No strong preference,Main light on is okay if someone's working,Smoking Habits,Cleanliness,Sleep Schedule,
3/16/2026 20:27:23,Male,1 AM – 3 AM,8 – 10 AM,"Use phone torch, try to stay quiet",When it gets messy enough to bother me,"Low-key — one person, quiet chat or a show",I don't bring friends,3,I can study through most noise,4,Non-vegetarian,I eat non-veg myself,I don't smoke/drink at all,Dropped a hint but haven't addressed it directly,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Smoking Habits,Frequent guests at night,Roommate avoids all conflict,No
3/16/2026 20:28:08,Male,10 PM – 11:30 PM,6 – 8 AM,I almost never return after 11 PM,Daily,"Alone in the room — lights dim, silence",I don't bring friends,3,"I use headphones, so room noise doesn't matter",4,Strictly vegetarian,Very — it's a dealbreaker,I don't smoke/drink at all,Set a clear boundary and expect it to be respected,Basically anything is fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Sleep Schedule,Smoking Habits,Loud Noise / Music,Nope!
3/16/2026 20:38:19,Male,Varies wildly day to day,6 – 8 AM,"Use phone torch, try to stay quiet",Every 2–3 days,"Alone in the room — lights dim, silence",10 PM,1,I can study through most noise,2,No preference,I eat non-veg myself,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Complete darkness — lights off by 10 PM,Sleep Schedule,Cleanliness,Loud Noise / Music,Don't want my sleep to be intruped
3/16/2026 20:41:28,Male,11:30 PM – 1 AM,6 – 8 AM,Stay out until I know roommate is awake,Rarely / Never,"Friends in the room, casual hangout",Midnight,4,Quiet — soft background is okay,2,Vegetarian + eggs,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Most daily-use items are fine,Comfortable (Cooler/Fan at 22–24°C),Main light on is okay if someone's working,Roommate avoids all conflict,Frequent guests at night,Sleep Schedule,
3/16/2026 21:07:21,Male,10 PM – 11:30 PM,6 – 8 AM,I almost never return after 11 PM,Every 2–3 days,"Low-key — one person, quiet chat or a show",10 PM,4,Quiet — soft background is okay,3,Strictly vegetarian,Doesn't bother me,I don't smoke/drink at all,Had one direct conversation about it,Only small things like a pen,Comfortable (Cooler/Fan at 22–24°C),"Dim lamp is fine, main light off",Cleanliness,Lack of privacy,Loud Noise / Music,
